,EntryID,userId,orderDateTime,ID,exchOrdId,side,segment,instrument,ProductType,status,qty,remainingQuantity,filledQty,limitPrice,stopPrice,type,discloseQty,dqQtyRem,orderValidity,slNo,offlineOrder,message,orderNumStatus,tradedPrice,fyToken,cauveriTime,symbol,sha256checksum,receivedTime,time
1211,1238,XK17409,315513000.0,122092930592,,1.0,E,,INTRADAY,OrderStatus.Rejected,50.0,50.0,0.0,0,1353,OrderType.Stop,0.0,0.0,DAY,1.0,0.0,"RMS:122092930592:NSE,EQUITY,324,ANGELONE,INTRADAY,,EQ,XK17409,B,50,I,1336.44995,FUND_LIMIT_INSUFFICIENT,AVAILABLE_FUND=1196.08,ADDITIONAL_REQUIRED_FUND=12168.42,CALCULATED_MARGIN_FOR_ORDER=13364.50",122092930592:5,0,1010000000324,,NSE:ANGELONE-EQ,,,1979-12-31 18:30:00
1270,1297,XK17409,315513000.0,12209302112,,1.0,E,,INTRADAY,OrderStatus.Rejected,1.0,1.0,0.0,1969,0,OrderType.Limit,0.0,0.0,DAY,1.0,0.0,"RMS:12209302112:NSE,EQUITY,19943,DEEPAKNTR,INTRADAY,,EQ,XK17409,B,1,I,1968.5,MARKET_IS_CLOSE_YOU_CANNOT_PLACE_AN_ORDER_NOW",12209302112:5,0,101000000019943,,NSE:DEEPAKNTR-EQ,,,1979-12-31 18:30:00
1524,1551,XK17409,315513000.0,12210032102,,1.0,E,,INTRADAY,OrderStatus.Rejected,41.0,41.0,0.0,0,1458,OrderType.Stop,0.0,0.0,DAY,1.0,0.0,"RMS:12210032102:NSE,EQUITY,324,ANGELONE,INTRADAY,,EQ,XK17409,B,41,I,55842,MARKET_IS_CLOSE_YOU_CANNOT_PLACE_AN_ORDER_NOW",12210032102:5,0,1010000000324,,NSE:ANGELONE-EQ,,2022-10-03 03:17:48.733,1979-12-31 18:30:00
1525,1552,XK17409,315513000.0,12210032122,,1.0,E,,INTRADAY,OrderStatus.Rejected,1.0,1.0,0.0,0,1461,OrderType.Stop,0.0,0.0,DAY,1.0,0.0,"RMS:12210032122:NSE,EQUITY,324,ANGELONE,INTRADAY,,EQ,XK17409,B,1,I,1362,MARKET_IS_CLOSE_YOU_CANNOT_PLACE_AN_ORDER_NOW",12210032122:5,0,1010000000324,,NSE:ANGELONE-EQ,,2022-10-03 03:19:00.792,1979-12-31 18:30:00
1610,1637,XK17409,315513000.0,122100325322,,1.0,E,,INTRADAY,OrderStatus.Rejected,200.0,200.0,0.0,0,1374,OrderType.Stop,0.0,0.0,DAY,1.0,0.0,"RMS:122100325322:NSE,EQUITY,324,ANGELONE,INTRADAY,,EQ,XK17409,B,200,I,1368.05005,FUND_LIMIT_INSUFFICIENT,AVAILABLE_FUND=40148.26,ADDITIONAL_REQUIRED_FUND=14573.74,CALCULATED_MARGIN_FOR_ORDER=54722.00",122100325322:5,0,1010000000324,,NSE:ANGELONE-EQ,,2022-10-03 04:32:07.935,1979-12-31 18:30:00
1620,1647,XK17409,315513000.0,122100326112,1100000006379566,1.0,E,,INTRADAY,OrderStatus.Rejected,50.0,50.0,0.0,2040,0,OrderType.Limit,0.0,0.0,DAY,3.0,0.0,"RMS:122100326112:NSE,EQUITY,19943,DEEPAKNTR,INTRADAY,,EQ,XK17409,B,100,I,2040.09998,FUND_LIMIT_INSUFFICIENT,AVAILABLE_FUND=20134.26,ADDITIONAL_REQUIRED_FUND=266.74,CALCULATED_MARGIN_FOR_ORDER=20401.00",122100326112:5,0,101000000019943,,NSE:DEEPAKNTR-EQ,,2022-10-03 04:34:27.756,1979-12-31 18:30:00
1643,1670,XK17409,315513000.0,122100327732,1000000006634339,1.0,E,,INTRADAY,OrderStatus.Rejected,100.0,100.0,0.0,0,1370,OrderType.Stop,0.0,0.0,DAY,5.0,0.0,"RMS:122100327732:NSE,EQUITY,324,ANGELONE,INTRADAY,,EQ,XK17409,B,300,I,1364.50000,FUND_LIMIT_INSUFFICIENT,AVAILABLE_FUND=54578.11,ADDITIONAL_REQUIRED_FUND=6.48,CALCULATED_MARGIN_FOR_ORDER=54584.59",122100327732:5,0,1010000000324,,NSE:ANGELONE-EQ,,2022-10-03 04:38:40.392,1979-12-31 18:30:00
1684,1711,XK17409,315513000.0,122100335302,,1.0,E,,INTRADAY,OrderStatus.Rejected,50.0,50.0,0.0,2040,0,OrderType.Limit,0.0,0.0,DAY,1.0,0.0,"RMS:122100335302:NSE,EQUITY,19943,DEEPAKNTR,INTRADAY,,EQ,XK17409,B,50,I,2040.09998,FUND_LIMIT_INSUFFICIENT,AVAILABLE_FUND=1202.46,ADDITIONAL_REQUIRED_FUND=19198.54,CALCULATED_MARGIN_FOR_ORDER=20401.00",122100335302:5,0,101000000019943,,NSE:DEEPAKNTR-EQ,,2022-10-03 05:00:52.452,1979-12-31 18:30:00
1700,1727,XK17409,315513000.0,122100337192,,1.0,E,,INTRADAY,OrderStatus.Rejected,170.0,170.0,0.0,0,2052,OrderType.Stop,0.0,0.0,DAY,1.0,0.0,"RMS:122100337192:NSE,EQUITY,19943,DEEPAKNTR,INTRADAY,,EQ,XK17409,B,170,I,2043.00000,FUND_LIMIT_INSUFFICIENT,AVAILABLE_FUND=23015.66,ADDITIONAL_REQUIRED_FUND=38274.34,CALCULATED_MARGIN_FOR_ORDER=61290.00",122100337192:5,0,101000000019943,,NSE:DEEPAKNTR-EQ,,2022-10-03 05:10:46.342,1979-12-31 18:30:00
1701,1728,XK17409,315513000.0,122100337282,,1.0,E,,INTRADAY,OrderStatus.Rejected,100.0,100.0,0.0,0,2055,OrderType.Stop,0.0,0.0,DAY,1.0,0.0,"RMS:122100337282:NSE,EQUITY,19943,DEEPAKNTR,INTRADAY,,EQ,XK17409,B,100,I,2042.84998,FUND_LIMIT_INSUFFICIENT,AVAILABLE_FUND=23015.66,ADDITIONAL_REQUIRED_FUND=9669.94,CALCULATED_MARGIN_FOR_ORDER=32685.60",122100337282:5,0,101000000019943,,NSE:DEEPAKNTR-EQ,,2022-10-03 05:11:00.417,1979-12-31 18:30:00
1795,1822,XK17409,315513000.0,122100348312,,1.0,E,,INTRADAY,OrderStatus.Rejected,100.0,100.0,0.0,0,2064,OrderType.Stop,0.0,0.0,DAY,1.0,0.0,"RMS:122100348312:NSE,EQUITY,19943,DEEPAKNTR,INTRADAY,,EQ,XK17409,B,100,I,2059.89990,FUND_LIMIT_INSUFFICIENT,AVAILABLE_FUND=39603.66,ADDITIONAL_REQUIRED_FUND=1594.34,CALCULATED_MARGIN_FOR_ORDER=41198.00",122100348312:5,0,101000000019943,,NSE:DEEPAKNTR-EQ,,2022-10-03 06:00:20.938,1979-12-31 18:30:00
1833,1860,XK17409,315513000.0,122100349492,,1.0,E,,INTRADAY,OrderStatus.Rejected,300.0,300.0,0.0,2050,0,OrderType.Limit,0.0,0.0,DAY,1.0,0.0,"RMS:122100349492:NSE,EQUITY,19943,DEEPAKNTR,INTRADAY,,EQ,XK17409,B,300,I,2050.39990,FUND_LIMIT_INSUFFICIENT,AVAILABLE_FUND=64438.86,ADDITIONAL_REQUIRED_FUND=58585.13,CALCULATED_MARGIN_FOR_ORDER=123023.99",122100349492:5,0,101000000019943,,NSE:DEEPAKNTR-EQ,,2022-10-03 06:04:52.070,1979-12-31 18:30:00
1838,1865,XK17409,315513000.0,122100349832,1100000012534368,-1.0,E,,INTRADAY,OrderStatus.Rejected,150.0,150.0,0.0,2071,0,OrderType.Limit,0.0,0.0,DAY,4.0,0.0,"RMS:122100349832:NSE,EQUITY,19943,DEEPAKNTR,INTRADAY,,EQ,XK17409,S,200,I,2071.35010,FUND_LIMIT_INSUFFICIENT,AVAILABLE_FUND=2298.36,ADDITIONAL_REQUIRED_FUND=18415.14,CALCULATED_MARGIN_FOR_ORDER=20713.50",122100349832:5,0,101000000019943,,NSE:DEEPAKNTR-EQ,,2022-10-03 06:06:52.833,1979-12-31 18:30:00
1962,1989,XK17409,315513000.0,122100364162,,-1.0,E,,INTRADAY,OrderStatus.Rejected,100.0,100.0,0.0,2082,0,OrderType.Limit,0.0,0.0,DAY,1.0,0.0,"RMS:122100364162:NSE,EQUITY,19943,DEEPAKNTR,INTRADAY,,EQ,XK17409,S,100,I,2081.69995,FUND_LIMIT_INSUFFICIENT,AVAILABLE_FUND=4853.49,ADDITIONAL_REQUIRED_FUND=36780.51,CALCULATED_MARGIN_FOR_ORDER=41634.00",122100364162:5,0,101000000019943,,NSE:DEEPAKNTR-EQ,,2022-10-03 07:17:07.384,1979-12-31 18:30:00
2003,2030,XK17409,315513000.0,122100368552,1100000017747188,1.0,E,,INTRADAY,OrderStatus.Rejected,100.0,85.0,15.0,2068,0,OrderType.Limit,0.0,0.0,DAY,11.0,0.0,"RMS:122100368552:NSE,EQUITY,19943,DEEPAKNTR,INTRADAY,,EQ,XK17409,B,100,I,2071.10010,FUND_LIMIT_INSUFFICIENT,AVAILABLE_FUND=4526.85,ADDITIONAL_REQUIRED_FUND=1734.90,CALCULATED_MARGIN_FOR_ORDER=6261.75",122100368552:5,2067,101000000019943,,NSE:DEEPAKNTR-EQ,,2022-10-03 07:43:00.607,1979-12-31 18:30:00
2026,2053,XK17409,315513000.0,122100371492,,-1.0,E,,INTRADAY,OrderStatus.Rejected,600.0,600.0,0.0,0,2066,OrderType.Stop,0.0,0.0,DAY,1.0,0.0,"RMS:122100371492:NSE,EQUITY,19943,DEEPAKNTR,INTRADAY,,EQ,XK17409,S,600,I,2069.89990,FUND_LIMIT_INSUFFICIENT,AVAILABLE_FUND=2664.36,ADDITIONAL_REQUIRED_FUND=162927.62,CALCULATED_MARGIN_FOR_ORDER=165591.99",122100371492:5,0,101000000019943,,NSE:DEEPAKNTR-EQ,,2022-10-03 07:54:38.548,1979-12-31 18:30:00
2095,2122,XK17409,315513000.0,122100382092,,1.0,E,,INTRADAY,OrderStatus.Rejected,90.0,90.0,0.0,2050,0,OrderType.Limit,0.0,0.0,DAY,1.0,0.0,"RMS:122100382092:NSE,EQUITY,19943,DEEPAKNTR,INTRADAY,,EQ,XK17409,B,90,I,2050.10010,FUND_LIMIT_INSUFFICIENT,AVAILABLE_FUND=2962.22,ADDITIONAL_REQUIRED_FUND=33939.58,CALCULATED_MARGIN_FOR_ORDER=36901.80",122100382092:5,0,101000000019943,,NSE:DEEPAKNTR-EQ,,2022-10-03 08:48:43.485,1979-12-31 18:30:00
2101,2128,XK17409,315513000.0,122100383102,,1.0,E,,INTRADAY,OrderStatus.Rejected,250.0,250.0,0.0,2041,0,OrderType.Limit,0.0,0.0,DAY,1.0,0.0,"RMS:122100383102:NSE,EQUITY,19943,DEEPAKNTR,INTRADAY,,EQ,XK17409,B,250,I,2040.94995,FUND_LIMIT_INSUFFICIENT,AVAILABLE_FUND=2962.22,ADDITIONAL_REQUIRED_FUND=17447.28,CALCULATED_MARGIN_FOR_ORDER=20409.50",122100383102:5,0,101000000019943,,NSE:DEEPAKNTR-EQ,,2022-10-03 08:53:44.477,1979-12-31 18:30:00
2208,2235,XK17409,315513000.0,122100389732,,1.0,E,,INTRADAY,OrderStatus.Rejected,200.0,200.0,0.0,0,2055,OrderType.Stop,0.0,0.0,DAY,1.0,0.0,"RMS:122100389732:NSE,EQUITY,19943,DEEPAKNTR,INTRADAY,,EQ,XK17409,B,200,I,2044.50000,FUND_LIMIT_INSUFFICIENT,AVAILABLE_FUND=49389.26,ADDITIONAL_REQUIRED_FUND=32390.74,CALCULATED_MARGIN_FOR_ORDER=81780.00",122100389732:5,0,101000000019943,,NSE:DEEPAKNTR-EQ,,2022-10-03 09:34:21.019,1979-12-31 18:30:00
2221,2248,XK17409,315513000.0,12210062072,,1.0,E,,INTRADAY,OrderStatus.Rejected,111.0,111.0,0.0,1079,0,OrderType.Limit,0.0,0.0,DAY,1.0,0.0,"RMS:12210062072:NSE,EQUITY,25780,APLAPOLLO,INTRADAY,,EQ,XK17409,B,111,I,119730.15,MARKET_IS_CLOSE_YOU_CANNOT_PLACE_AN_ORDER_NOW",12210062072:5,0,101000000025780,,NSE:APLAPOLLO-EQ,,2022-10-06 03:22:01.053,1979-12-31 18:30:00
2268,2295,XK17409,315513000.0,122100618872,,-1.0,E,,INTRADAY,OrderStatus.Rejected,100.0,100.0,0.0,0,2128,OrderType.Stop,0.0,0.0,DAY,1.0,0.0,"RMS:122100618872:NSE,EQUITY,19943,DEEPAKNTR,INTRADAY,,EQ,XK17409,S,100,I,2139.39990,FUND_LIMIT_INSUFFICIENT,AVAILABLE_FUND=41171.83,ADDITIONAL_REQUIRED_FUND=1616.17,CALCULATED_MARGIN_FOR_ORDER=42788.00",122100618872:5,0,101000000019943,,NSE:DEEPAKNTR-EQ,,2022-10-06 04:21:37.395,1979-12-31 18:30:00
2300,2327,XK17409,315513000.0,122100629362,,1.0,E,,INTRADAY,OrderStatus.Rejected,50.0,50.0,0.0,0,1541,OrderType.Stop,0.0,0.0,DAY,1.0,0.0,"RMS:122100629362:NSE,EQUITY,324,ANGELONE,INTRADAY,,EQ,XK17409,B,50,I,1525.50000,FUND_LIMIT_INSUFFICIENT,AVAILABLE_FUND=4987.33,ADDITIONAL_REQUIRED_FUND=10267.67,CALCULATED_MARGIN_FOR_ORDER=15255.00",122100629362:5,0,1010000000324,,NSE:ANGELONE-EQ,,2022-10-06 04:45:02.764,1979-12-31 18:30:00
2340,2367,XK17409,315513000.0,122100621102,1100000004426193,1.0,E,,INTRADAY,OrderStatus.Rejected,50.0,50.0,0.0,0,2146,OrderType.Stop,0.0,0.0,DAY,5.0,0.0,"RMS:122100621102:NSE,EQUITY,19943,DEEPAKNTR,INTRADAY,,EQ,XK17409,B,100,I,2141.94995,FUND_LIMIT_INSUFFICIENT,AVAILABLE_FUND=7102.13,ADDITIONAL_REQUIRED_FUND=14355.37,CALCULATED_MARGIN_FOR_ORDER=21457.50",122100621102:5,0,101000000019943,,NSE:DEEPAKNTR-EQ,,2022-10-06 05:00:57.534,1979-12-31 18:30:00
2361,2388,XK17409,315513000.0,122100639402,,-1.0,E,,INTRADAY,OrderStatus.Rejected,100.0,100.0,0.0,0,2125,OrderType.Stop,0.0,0.0,DAY,1.0,0.0,"RMS:122100639402:NSE,EQUITY,19943,DEEPAKNTR,INTRADAY,,EQ,XK17409,S,100,I,2136.75000,FUND_LIMIT_INSUFFICIENT,AVAILABLE_FUND=34345.23,ADDITIONAL_REQUIRED_FUND=8389.77,CALCULATED_MARGIN_FOR_ORDER=42735.00",122100639402:5,0,101000000019943,,NSE:DEEPAKNTR-EQ,,2022-10-06 05:12:17.922,1979-12-31 18:30:00
2,29,XK17409,1664262677.0,122092766052,1000000018248430,1.0,E,,INTRADAY,OrderStatus.Pending,12.0,12.0,0.0,0,1274,OrderType.Stop,0.0,0.0,DAY,9.0,0.0,CONFIRMED,122092766052:6,0,101000000021174,,NSE:CDSL-EQ,,,2022-09-27 07:11:17
3,30,XK17409,1664262697.0,122092766052,1000000018248430,1.0,E,,INTRADAY,OrderStatus.Pending,12.0,12.0,0.0,0,1271,OrderType.Stop,0.0,0.0,DAY,10.0,0.0,CONFIRMED,122092766052:6,0,101000000021174,,NSE:CDSL-EQ,,,2022-09-27 07:11:37
4,31,XK17409,1664262717.0,122092766052,1000000018248430,1.0,E,,INTRADAY,OrderStatus.Canceled,12.0,0.0,0.0,0,1271,OrderType.Stop,0.0,0.0,DAY,12.0,0.0,CONFIRMED,122092766052:1,0,101000000021174,,NSE:CDSL-EQ,,,2022-09-27 07:11:57
5,32,XK17409,1664264487.0,122092774192,1100000020857501,-1.0,E,,INTRADAY,OrderStatus.Pending,1.0,1.0,0.0,2102,0,OrderType.Limit,0.0,0.0,DAY,1.0,0.0,CONFIRMED,122092774192:6,0,101000000019943,,NSE:DEEPAKNTR-EQ,,,2022-09-27 07:41:27
6,33,XK17409,1664264584.0,122092774192,1100000020857501,-1.0,E,,INTRADAY,OrderStatus.Pending,1.0,1.0,0.0,2098,0,OrderType.Limit,0.0,0.0,DAY,2.0,0.0,CONFIRMED,122092774192:6,0,101000000019943,,NSE:DEEPAKNTR-EQ,,,2022-09-27 07:43:04
7,34,XK17409,1664267021.0,122092780242,1100000023712231,-1.0,E,,INTRADAY,OrderStatus.Pending,1.0,1.0,0.0,2102,0,OrderType.Limit,0.0,0.0,DAY,2.0,0.0,CONFIRMED,122092780242:6,0,101000000019943,,NSE:DEEPAKNTR-EQ,,,2022-09-27 08:23:41
8,35,XK17409,1664267021.0,122092780242,1100000023712231,-1.0,E,,INTRADAY,OrderStatus.Pending,1.0,1.0,0.0,2102,0,OrderType.Limit,0.0,0.0,DAY,2.0,0.0,CONFIRMED,122092780242:6,0,101000000019943,,NSE:DEEPAKNTR-EQ,,,2022-09-27 08:23:41
9,36,XK17409,1664267031.0,122092780242,1100000023712231,-1.0,E,,INTRADAY,OrderStatus.Pending,1.0,1.0,0.0,2098,0,OrderType.Limit,0.0,0.0,DAY,3.0,0.0,CONFIRMED,122092780242:6,0,101000000019943,,NSE:DEEPAKNTR-EQ,,,2022-09-27 08:23:51
10,37,XK17409,1664267031.0,122092780242,1100000023712231,-1.0,E,,INTRADAY,OrderStatus.Pending,1.0,1.0,0.0,2098,0,OrderType.Limit,0.0,0.0,DAY,3.0,0.0,CONFIRMED,122092780242:6,0,101000000019943,,NSE:DEEPAKNTR-EQ,,,2022-09-27 08:23:51
11,38,XK17409,1664267058.0,122092780242,1100000023712231,-1.0,E,,INTRADAY,OrderStatus.Canceled,1.0,0.0,0.0,2098,0,OrderType.Limit,0.0,0.0,DAY,5.0,0.0,CONFIRMED,122092780242:1,0,101000000019943,,NSE:DEEPAKNTR-EQ,,,2022-09-27 08:24:18
12,39,XK17409,1664267058.0,122092780242,1100000023712231,-1.0,E,,INTRADAY,OrderStatus.Canceled,1.0,0.0,0.0,2098,0,OrderType.Limit,0.0,0.0,DAY,5.0,0.0,CONFIRMED,122092780242:1,0,101000000019943,,NSE:DEEPAKNTR-EQ,,,2022-09-27 08:24:18
13,40,XK17409,1664267121.0,122092780592,1100000023898452,-1.0,E,,INTRADAY,OrderStatus.Pending,1.0,1.0,0.0,2100,0,OrderType.Limit,0.0,0.0,DAY,1.0,0.0,CONFIRMED,122092780592:6,0,101000000019943,,NSE:DEEPAKNTR-EQ,,,2022-09-27 08:25:21
14,41,XK17409,1664267121.0,122092780592,1100000023898452,-1.0,E,,INTRADAY,OrderStatus.Pending,1.0,1.0,0.0,2100,0,OrderType.Limit,0.0,0.0,DAY,1.0,0.0,CONFIRMED,122092780592:6,0,101000000019943,,NSE:DEEPAKNTR-EQ,,,2022-09-27 08:25:21
15,42,XK17409,1664267426.0,122092780592,1100000023898452,-1.0,E,,INTRADAY,OrderStatus.Pending,1.0,1.0,0.0,2097,0,OrderType.Limit,0.0,0.0,DAY,2.0,0.0,CONFIRMED,122092780592:6,0,101000000019943,,NSE:DEEPAKNTR-EQ,,,2022-09-27 08:30:26
16,43,XK17409,1664267437.0,122092780592,1100000023898452,-1.0,E,,INTRADAY,OrderStatus.Pending,1.0,1.0,0.0,2102,0,OrderType.Limit,0.0,0.0,DAY,3.0,0.0,CONFIRMED,122092780592:6,0,101000000019943,,NSE:DEEPAKNTR-EQ,,,2022-09-27 08:30:37
17,44,XK17409,1664267447.0,122092780592,1100000023898452,-1.0,E,,INTRADAY,OrderStatus.Pending,1.0,1.0,0.0,2085,0,OrderType.Limit,0.0,0.0,DAY,4.0,0.0,CONFIRMED,122092780592:6,0,101000000019943,,NSE:DEEPAKNTR-EQ,,,2022-09-27 08:30:47
18,45,XK17409,1664267456.0,122092780592,1100000023898452,-1.0,E,,INTRADAY,OrderStatus.Canceled,1.0,0.0,0.0,2085,0,OrderType.Limit,0.0,0.0,DAY,6.0,0.0,CONFIRMED,122092780592:1,0,101000000019943,,NSE:DEEPAKNTR-EQ,,,2022-09-27 08:30:56
19,46,XK17409,1664267995.0,122092782352,1100000024867980,-1.0,E,,INTRADAY,OrderStatus.Pending,100.0,100.0,0.0,2065,0,OrderType.Limit,0.0,0.0,DAY,1.0,0.0,CONFIRMED,122092782352:6,0,101000000019943,,NSE:DEEPAKNTR-EQ,,,2022-09-27 08:39:55
20,47,XK17409,1664268008.0,122092782402,1100000024883611,1.0,E,,INTRADAY,OrderStatus.Pending,100.0,100.0,0.0,0,2069,OrderType.Stop,0.0,0.0,DAY,1.0,0.0,CONFIRMED,122092782402:6,0,101000000019943,,NSE:DEEPAKNTR-EQ,,,2022-09-27 08:40:08
21,48,XK17409,1664268091.0,122092782352,1100000024867980,-1.0,E,,INTRADAY,OrderStatus.Filled,100.0,0.0,100.0,2065,0,OrderType.Limit,0.0,0.0,DAY,2.0,0.0,TRADE_CONFIRMED,122092782352:2,2065,101000000019943,,NSE:DEEPAKNTR-EQ,,,2022-09-27 08:41:31
22,49,XK17409,1664268099.0,122092782402,1100000024883611,1.0,E,,INTRADAY,OrderStatus.Pending,100.0,100.0,0.0,0,0,OrderType.Market,0.0,0.0,DAY,2.0,0.0,STOPLOSS_TRIGGER,122092782402:6,0,101000000019943,,NSE:DEEPAKNTR-EQ,,,2022-09-27 08:41:39
23,50,XK17409,1664268099.0,122092782402,1100000024883611,1.0,E,,INTRADAY,OrderStatus.Pending,100.0,95.0,5.0,0,0,OrderType.Market,0.0,0.0,DAY,4.0,0.0,TRADE_CONFIRMED,122092782402:6,2069,101000000019943,,NSE:DEEPAKNTR-EQ,,,2022-09-27 08:41:39
24,51,XK17409,1664268099.0,122092782402,1100000024883611,1.0,E,,INTRADAY,OrderStatus.Pending,100.0,87.0,13.0,0,0,OrderType.Market,0.0,0.0,DAY,6.0,0.0,TRADE_CONFIRMED,122092782402:6,2069,101000000019943,,NSE:DEEPAKNTR-EQ,,,2022-09-27 08:41:39
25,52,XK17409,1664268099.0,122092782402,1100000024883611,1.0,E,,INTRADAY,OrderStatus.Pending,100.0,53.0,47.0,0,0,OrderType.Market,0.0,0.0,DAY,8.0,0.0,TRADE_CONFIRMED,122092782402:6,2069,101000000019943,,NSE:DEEPAKNTR-EQ,,,2022-09-27 08:41:39
